policy_id,issue_age,gender,risk_class,product,face_amount,issue_date
1,28,F,Standard,Term20,53000,2019-10-13
2,56,F,Preferred,Term10,67700,2021-10-14
3,51,M,Standard,Term10,38700,2019-06-26
4,42,M,Standard,Term10,76100,2022-03-01
5,42,F,Preferred,Term10,86600,2018-10-26
6,60,F,Preferred,Term20,82900,2019-06-08
7,28,M,Standard,Term20,54700,2021-03-02
8,53,M,Preferred,Term10,115200,2023-09-15
9,33,M,Preferred,Term10,51300,2020-11-06
10,28,F,Standard,Term20,48600,2019-11-21
11,46,F,Preferred,Term10,142200,2023-12-22
12,65,M,Preferred,Term10,30800,2021-08-12
13,55,M,Preferred,Term20,21600,2019-10-22
14,56,M,Standard,Term10,35600,2023-03-06
15,54,F,Standard,Term10,75500,2018-04-10
16,57,M,Standard,Term10,129300,2022-02-02
17,46,M,Preferred,Term10,40300,2023-01-18
18,30,M,Preferred,Term20,177900,2021-11-21
19,59,M,Standard,Term20,60900,2023-06-22
20,43,F,Standard,Term20,55900,2021-07-11
21,45,M,Standard,Term10,36000,2021-02-24
22,40,M,Standard,Term20,193100,2018-03-19
23,32,F,Preferred,Term20,54700,2019-01-17
24,62,M,Standard,Term20,26900,2022-06-07
25,57,M,Standard,Term20,261600,2022-07-24
26,51,F,Standard,Term20,75800,2021-02-22
27,41,F,Standard,Term20,96700,2019-09-25
28,58,M,Preferred,Term20,164200,2018-02-10
29,47,M,Preferred,Term20,86600,2018-11-16
30,43,F,Standard,Term10,107500,2018-12-02
31,43,M,Standard,Term20,61900,2019-08-17
32,34,F,Standard,Term20,93000,2023-07-15
33,28,F,Standard,Term10,58700,2022-09-23
34,47,M,Standard,Term10,59200,2019-03-21
35,61,F,Standard,Term10,64300,2019-12-28
36,27,M,Preferred,Term20,47200,2023-11-27
37,60,F,Standard,Term10,81000,2020-09-05
38,58,M,Standard,Term10,80900,2019-12-28
39,36,M,Standard,Term10,97900,2019-04-01
40,50,F,Preferred,Term10,87900,2020-11-13
41,31,F,Standard,Term20,198800,2021-01-27
42,56,M,Standard,Term10,112600,2021-09-18
43,53,F,Preferred,Term10,52900,2021-04-28
44,39,M,Standard,Term10,78600,2021-12-16
45,27,M,Preferred,Term20,139800,2019-07-20
46,64,M,Standard,Term20,33900,2020-03-15
47,43,M,Preferred,Term10,200500,2022-04-26
48,61,F,Preferred,Term10,37600,2020-11-04
49,52,F,Standard,Term20,102800,2023-10-11
50,56,F,Preferred,Term20,60100,2020-05-19
