duration_month,exposure,lapses,crude_lapse_rate,Z,cred_lapse_rate
1,7871.5,254,0.032268309724957124,0.611544885988424,0.024951994432600013
2,7662.5,158,0.020619902120717782,0.6051332675222113,0.017782396551961385
3,7510.5,135,0.017974835230677052,0.6003357179968826,0.01615999331275417
4,7389.5,95,0.012856079572366196,0.5964324629726785,0.013089276915066068
5,7286.5,101,0.013861250257325191,0.5930492817319822,0.013687347604216908
6,7199.0,64,0.008890123628281706,0.5901303385523403,0.010752487608755721
7,7127.5,69,0.009680813749561557,0.5877138734281592,0.011228167086308888
8,7058.0,59,0.0083593085860017,0.5853375352463095,0.010463559158999092
9,6999.5,46,0.0065718979927137655,0.5833159714988124,0.009431192661295142
10,6947.0,45,0.006477616237224701,0.5814848916045869,0.009388934154114929
11,6897.0,47,0.006814557053791504,0.5797259813398336,0.009596503012457852
12,6855.5,29,0.004230180147326964,0.5782548184386993,0.008111812773751514
13,6818.5,35,0.005133093788956516,0.5769344671489613,0.00864488694328477
14,6774.5,43,0.006347331906413758,0.5753535181961017,0.009356626297440322
15,6721.0,51,0.007588156524326737,0.5734152376077126,0.01008186983527097
16,6655.0,69,0.010368144252441773,0.570999570999571,0.011683363049267358
17,6572.5,87,0.013236972232788132,0.5679412400086412,0.013322064924537573
18,6477.5,92,0.014203010420686994,0.5643650620779787,0.013867967444061081
19,6370.0,111,0.017425431711145998,0.5602462620932278,0.015670149194301763
20,6251.5,112,0.017915700231944335,0.5556148069146336,0.015924063132845494
21,6134.5,110,0.01793137174993887,0.5509452602272217,0.015911769395950518
22,6018.0,117,0.019441674975074777,0.546197131965874,0.016715338204684252
23,5890.5,134,0.02274849333672863,0.5408842569211698,0.01847202574162904
24,5756.0,130,0.022585128561501043,0.5351431759018223,0.018331126472593072
