duration_month,exposure,lapses,crude_lapse_rate
1,7871.5,254,0.032268309724957124
2,7662.5,158,0.020619902120717782
3,7510.5,135,0.017974835230677052
4,7389.5,95,0.012856079572366196
5,7286.5,101,0.013861250257325191
6,7199.0,64,0.008890123628281706
7,7127.5,69,0.009680813749561557
8,7058.0,59,0.0083593085860017
9,6999.5,46,0.0065718979927137655
10,6947.0,45,0.006477616237224701
11,6897.0,47,0.006814557053791504
12,6855.5,29,0.004230180147326964
13,6818.5,35,0.005133093788956516
14,6774.5,43,0.006347331906413758
15,6721.0,51,0.007588156524326737
16,6655.0,69,0.010368144252441773
17,6572.5,87,0.013236972232788132
18,6477.5,92,0.014203010420686994
19,6370.0,111,0.017425431711145998
20,6251.5,112,0.017915700231944335
21,6134.5,110,0.01793137174993887
22,6018.0,117,0.019441674975074777
23,5890.5,134,0.02274849333672863
24,5756.0,130,0.022585128561501043
