duration_month,exposure,lapses,cred_lapse_rate
1,7871.5,254,0.024951994432600013
2,7662.5,158,0.017782396551961385
3,7510.5,135,0.01615999331275417
4,7389.5,95,0.013089276915066068
5,7286.5,101,0.013687347604216908
6,7199.0,64,0.010752487608755721
7,7127.5,69,0.011228167086308888
8,7058.0,59,0.010463559158999092
9,6999.5,46,0.009431192661295142
10,6947.0,45,0.009388934154114929
11,6897.0,47,0.009596503012457852
12,6855.5,29,0.008111812773751514
13,6818.5,35,0.00864488694328477
14,6774.5,43,0.009356626297440322
15,6721.0,51,0.01008186983527097
16,6655.0,69,0.011683363049267358
17,6572.5,87,0.013322064924537573
18,6477.5,92,0.013867967444061081
19,6370.0,111,0.015670149194301763
20,6251.5,112,0.015924063132845494
21,6134.5,110,0.015911769395950518
22,6018.0,117,0.016715338204684252
23,5890.5,134,0.01847202574162904
24,5756.0,130,0.018331126472593072
